Date,Predicted_Rate,Lower_Bound_95,Upper_Bound_95,Confidence_Range
2026-02-10,307.15731452813384,302.5493776089565,311.7652514473112,9.215873838354696
2026-02-11,304.9585307320104,300.35059381283304,309.56646765118774,9.215873838354696
2026-02-12,304.39932318574563,299.7913862665683,309.007260104923,9.215873838354696
2026-02-13,304.2614725635701,299.6535356443928,308.86940948274747,9.215873838354696
2026-02-14,304.10468942965053,299.4967525104732,308.7126263488279,9.215873838354696
2026-02-15,302.1516330359373,297.54369611676,306.75956995511467,9.215873838354696
2026-02-16,301.9496902176011,297.3417532984237,306.5576271367784,9.215873838354696
2026-02-17,300.6128030247882,296.00486610561086,305.22073994396555,9.215873838354696
2026-02-18,300.6010720661928,295.99313514701544,305.20900898537013,9.215873838354696
2026-02-19,300.98822685083985,296.3802899316625,305.5961637700172,9.215873838354696
2026-02-20,300.91786484040085,296.3099279212235,305.5258017595782,9.215873838354696
2026-02-21,300.91307968415083,296.3051427649735,305.5210166033282,9.215873838354696
2026-02-22,301.2183701755375,296.6104332563601,305.8263070947148,9.215873838354696
2026-02-23,301.2099968233946,296.60205990421724,305.81793374257194,9.215873838354696
2026-02-24,301.02589425695237,296.417957337775,305.6338311761297,9.215873838354696
2026-02-25,301.03141164233693,296.4234747231596,305.6393485615143,9.215873838354696
2026-02-26,301.2142092870373,296.60627236785996,305.82214620621465,9.215873838354696
2026-02-27,301.2142092870373,296.60627236785996,305.82214620621465,9.215873838354696
2026-02-28,301.03141164233693,296.4234747231596,305.6393485615143,9.215873838354696
2026-03-01,301.03141164233693,296.4234747231596,305.6393485615143,9.215873838354696
2026-03-02,301.2142092870373,296.60627236785996,305.82214620621465,9.215873838354696
2026-03-03,301.2142092870373,296.60627236785996,305.82214620621465,9.215873838354696
2026-03-04,301.0345988462916,296.42666192711425,305.64253576546895,9.215873838354696
2026-03-05,301.0345988462916,296.42666192711425,305.64253576546895,9.215873838354696
2026-03-06,301.2173964909919,296.60945957181457,305.82533341016926,9.215873838354696
2026-03-07,301.2173964909919,296.60945957181457,305.82533341016926,9.215873838354696
2026-03-08,301.0345988462916,296.42666192711425,305.64253576546895,9.215873838354696
2026-03-09,301.0345988462916,296.42666192711425,305.64253576546895,9.215873838354696
2026-03-10,301.2218764714607,296.61393955228334,305.82981339063804,9.215873838354696
2026-03-11,301.2218764714607,296.61393955228334,305.82981339063804,9.215873838354696
